track_name,main_artist,collaborator,popularity
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Metro Boomin,"Future, Lil Uzi Vert",61
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,"A$AP Rocky, Roisee",73
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Madonna,22
Cross The Globe (feat. Juice WRLD),Lil Durk,Juice WRLD,56
California Roll (feat. Stevie Wonder),Snoop Dogg,Stevie Wonder,37
I Love You More Than You Know (feat. Childish Gambino),bLAck pARty,Childish Gambino,36
Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals,Daniel Caesar & Unknown Mortal Orchestra,63
Hey Boy (feat. Kali Uchis),Omar Apollo,Kali Uchis,53
Toronto 2014 (with Mustafa),Daniel Caesar,Mustafa,69
Silkk da Shocka (feat. Syd),Isaiah Rashad,Syd,62
To Zion (feat. Carlos Santana),Ms. Lauryn Hill,Carlos Santana,60
Nothing Even Matters (feat. D'Angelo),Ms. Lauryn Hill,D'Angelo,60
Relationship (feat. Future),Young Thug,Future,66
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,"Drake, 2 Chainz & Kendrick Lamar",73
"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]",Ed Sheeran,"Stormzy, Jaykae & Aitch",38
Two Tens (feat. Anderson .Paak),Cordae,Anderson .Paak,56
RNP (feat. Anderson .Paak),Cordae,Anderson .Paak,64
Concentrate (feat. Dua Saleh),Billy Lemos,Dua Saleh,33
Demon Time (feat. Draft Day),Lil Yachty,Draft Day,39
I Cannot Be (A Sadder Song) (with Gunna),Post Malone,Gunna,44
I Can't Save You (Interlude) [with Future & feat. Don Toliver],Metro Boomin,Don Toliver,70
RPG (feat. 6lack),Kehlani,6lack,37
Double Fantasy (with Future) - Radio Edit,The Weeknd,Future,46
Blood & Innocence,Yves Tumor,Innocence,23
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,Lil Baby & Lil Durk,69
Double Fantasy (with Future),The Weeknd,Future,69
LIGHTS PLEASE (feat. Pusha T & CHASE B),Khi Infinite,Pusha T & CHASE B,23
After Last Night (with Thundercat & Bootsy Collins),Bruno Mars,Bootsy Collins,69
Ric Flair Drip (with Metro Boomin),Offset,Metro Boomin,80
Rich And Blind,Juice WRLD,Blind,59
4EVA (feat. Pharrell Williams),KAYTRAMINÉ,Pharrell Williams,50
Search & Rescue,Drake,Rescue,71
I Changed Her Life (feat. Rick Ross),XXXTENTACION,Rick Ross,52
On & On,Erykah Badu,On,67
Suicidal (feat. Juice WRLD) - Remix,YNW Melly,Juice WRLD,71
cocoa (with Don Toliver),Baby Keem,Don Toliver,45
The Night We Met (feat. Phoebe Bridgers),Lord Huron,Phoebe Bridgers,60
Fragments of Time (feat. Todd Edwards),Daft Punk,Todd Edwards,29
If the World Was Ending (feat. Julia Michaels),JP Saxe,Julia Michaels,72
Deserve Me (with Summer Walker),Kali Uchis,Summer Walker,54
Just Might (with PARTYNEXTDOOR),Summer Walker,PARTYNEXTDOOR,68
Spoil My Night (feat. Swae Lee),Post Malone,Swae Lee,59
MUSIC SOUNDS BETTER WITH YOU,Rounhaa,YOU,44
Chosen (feat. Ty Dolla $ign),Blxst,Ty Dolla $ign,66
warm (feat. Raury),The Neighbourhood,Raury,46
Worth the Wait (feat. Omar Apollo),Kali Uchis,Omar Apollo,54
White (feat. Frank Ocean),Odd Future,Frank Ocean,62
careless (feat. daniel caesar),FKA twigs,daniel caesar,50
Demonz (feat. Brent Faiyaz) - Interlude,Juice WRLD,Brent Faiyaz,59
Dancing With Your Ghost,Sasha Alex Sloan,Your Ghost,76
Luckily I’m Having (feat. Teezo Touchdown),Don Toliver,Teezo Touchdown,53
Embarrassed (feat. Travis Scott),Don Toliver,Travis Scott,72
Again (with The Mellomen),Doris Day,The Mellomen,51
Instant Crush (feat. Julian Casablancas),Daft Punk,Julian Casablancas,75
Slow Motion (feat. Wizkid),Don Toliver,Wizkid,53
Private Landing (feat. Justin Bieber & Future),Don Toliver,Justin Bieber & Future,76
